StateWellNumber,LatDD,LonDD,Avg_Fl,chtexture_texcl,Well_Depth,slope_l,slope_r,slope_h,elev_l,elev_r,elev_h,sandtotal_l,sandtotal_r,sandtotal_h,claytotal_l,claytotal_r,claytotal_h,om_l,om_r,om_h,ksat_l,ksat_r,ksat_h,awc_l,awc_r,awc_h,wsatiated_l,wsatiated_r,wsatiated_h,ll_l,ll_r,ll_h,pi_l,pi_r,pi_h,kwfact,kffact,ec_l,ec_r,ec_h,ph_l,ph_r,ph_h,PPT,Tmean,Aquifer,FN_ID
2910602,32.793889,-100.778333,1.18,Fine sandy loam,285,1,2,3,457.200012,617.200012,944.900024,40,55,65,18,28,35,0,0.25,0.5,4,9,14,0.08,0.15,0.17,35,38,41,25,38,45,13,19,25,0.24,0.24,0,0,2,6.4,7.5,8.4,553.758972,17.51,Dockum,1405
2910902,32.79,-100.785834,3.07,Fine sandy loam,297,1,2,3,457.200012,617.200012,944.900024,40,55,65,18,28,35,0,0.25,0.5,4,9,14,0.08,0.15,0.17,35,38,41,25,38,45,13,19,25,0.24,0.24,0,0,2,6.4,7.5,8.4,552.69397,17.51,Dockum,1405
2917308,32.717222,-100.913611,0.8,Fine sandy loam,173,1,2,3,457.200012,617.200012,944.900024,40,55,65,18,28,35,0,0.25,0.5,4,9,14,0.08,0.15,0.17,35,38,41,25,38,45,13,19,25,0.24,0.24,0,0,2,6.4,7.5,8.4,543.117004,17.469999,Dockum,1356
2917309,32.7175,-100.895,1.04,Fine sandy loam,215,1,2,3,457.200012,617.200012,944.900024,40,55,65,18,28,35,0,0.25,0.5,4,9,14,0.08,0.15,0.17,35,38,41,25,38,45,13,19,25,0.24,0.24,0,0,2,6.4,7.5,8.4,543.521973,17.459999,Dockum,1357
2917704,32.641667,-100.974167,1.35,Silty clay loam,382,1,2,3,365,701,823,17,35,53,20,28,35,0.25,0.5,0.75,4,9,14,0.1,0.15,0.18,33,38,46,28,34,43,11,16,25,0.43,0.43,0,1,2,7.9,8.2,8.4,541.26001,17.6,Dockum,1308
2917706,32.6425,-100.971389,1.04,Silty clay loam,220,1,2,3,365,701,823,17,35,53,20,28,35,0.25,0.5,0.75,4,9,14,0.1,0.15,0.18,33,38,46,28,34,43,11,16,25,0.43,0.43,0,1,2,7.9,8.2,8.4,541.26001,17.6,Dockum,1309
2918401,32.685834,-100.845556,1.993333,Fine sandy loam,218,1,2,3,457.200012,617.200012,944.900024,40,55,65,18,28,35,0,0.25,0.5,4,9,14,0.08,0.15,0.17,35,38,41,25,38,45,13,19,25,0.24,0.24,0,0,2,6.4,7.5,8.4,546.407959,17.449999,Dockum,1357
2919204,32.730278,-100.690834,1.01,Fine sandy loam,40,1,2,3,457.200012,617.200012,944.900024,40,55,65,18,28,35,0,0.25,0.5,4,9,14,0.08,0.15,0.17,35,38,41,25,38,45,13,19,25,0.24,0.24,0,0,2,6.4,7.5,8.4,566.252991,17.51,Dockum,1406
2919205,32.728889,-100.693056,1.035,Fine sandy loam,80,1,2,3,457.200012,617.200012,944.900024,40,55,65,18,28,35,0,0.25,0.5,4,9,14,0.08,0.15,0.17,35,38,41,25,38,45,13,19,25,0.24,0.24,0,0,2,6.4,7.5,8.4,566.045959,17.549999,Dockum,1406
2920701,32.655556,-100.610001,0.74,Silty clay,180,1,2,3,335,488,640,17,29.6,0,35,40,45,0.5,0.75,1,1.4,2.7,4,0.12,0.15,0.18,0,42,0,30,40,50,15,22.5,30,0.24,0.24,0,0,0,7.9,8.2,8.4,575.948975,17.629999,Dockum,1361
